,news_id,title,abstract,category
233,N62020,Insurance Council Of Texas Says $2B Dallas Tornado Costliest In State's History,"The Insurance Council of Texas projects the EF-3 tornado that hit Dallas was one of the costliest in the state's history, with a total loss of about $2 billion.",weather
235,N26951,PG&E could shut off power -- again -- Tuesday,"While 940,000 PG&E customers across Northern California remain in the dark Sunday, the utility said there could be another round of widespread power shutoffs by midweek. PG&E shut off power to portions of 36 counties Saturday evening and into the night. The final phase of shutoffs is expected around 9 p.m. Sunday in Kern, Fresno and Madera counties. The shutoffs are part of PG&E's Public Safety Power Shutoff program, which is designed to reduce...",weather
236,N51658,Winter storms and snow in the forecast this week for Denver and Midwest,"In just a span of four states, the weather is either burning hot or freezing cold. Literally. At least 14 million people across the US are under winter weather alerts Tuesday, and it's nowhere near winter yet.",weather
252,N28076,Fire danger looms over Southern California as sundowner winds blow in,"LOS ANGELES - Southern California remains on fire watch as warm temperatures, low humidity and strong northerly winds, known as sundowner winds, continue to pose a fire danger for much of the region on Sunday.",weather
261,N59680,Aftermath of Typhoon Hagibis that killed up to 33 seen in dramatic images,"Dramatic photos show the destruction in Japan caused by heavy rains and flooding brought by Typhoon Hagibis, which has killed at least 33 people.",weather
270,N47779,Newsom vetoes tough bill on new plastic bottle recycling rules,"SACRAMENTO   Gov. Gavin Newsom vetoed a bill Saturday to give California one of the toughest recycling mandates for plastic bottles in the nation. AB792 by Assemblyman Phil Ting, D-San Francisco, would have required beverage companies to use 50% recycled content in bottles by 2030. CalRecycle, the state's recycling agency, would have audited companies and fined those that didn't comply. Newsom cited late amendments to the bill establishing...",weather
274,N1176,Some state parks close to new vehicles,"A few state parks have closed to new vehicles after reaching parking capacity on Sunday. Sleeping Giant State Park in Hamden closed to new vehicles around 11:25 a.m. and Talcott Mountain State Park in Simsbury reached capacity at 11:30 a.m., according to the state Department of Energy and Environmental Protection. Both parks also reached capacity and closed to new cars on Saturday.",weather
286,N32014,How to Help Your Body Adjust to Colder Weather,"Fall is here, and the mercury is falling in thermostats across the northern hemisphere. The good news: Not only will your body acclimate to the…",weather
287,N38351,"Lots of sunshine': Nestor moves out of Florida, sunshine across Central Florida",What's left of Nestor is moving out of Florida and leaving behind lots of sunshine.,weather
293,N1303,"Fall Back Sunday: Daylight Saving Time 2019 Ends In NoVA, DC",Sunrise and sunset will come earlier in DC and NoVA with the end of Daylight Saving Time. With the time change come some increased risks.,weather
298,N36057,4.5 M earthquake rattles Northern California near Walnut Creek,The United States Geological Survey recorded a 4.7 magnitude earthquake near Walnut Creek Monday night.,weather
300,N32553,Winds expected to pick up Wednesday as rain continues,"Rain and wind are pushing into the Puget Sound region and the showers won't let up all week. Rain is expected to stick around for most of Wednesday, with highs in the mid-50s. There's expected to be heavier rain Wednesday morning, with a short break in the afternoon, only to have it return just in time for the evening commute. Winds will pick up from the south at 25 to 35 mph, with gusts up to 45 mph possible at times on Wednesday. A Wind...",weather
301,N45162,Grid operator reports latest record for renewables used to meet energy demenads,"The wind swept across the Great Plains early Wednesday, and electricity customers across the region benefited from it again. The Southwest Power announced Friday on Twitter that it met its load requirement on the regional transmission grid it operates using a record 73.67% of energy generated by renewable resources at 2:14 a.m. on Oct. 9. The grid had a load for needed energy of about ...",weather
308,N21470,"Halloween weather forecast is frightful for many: Rain, snow and cold predicted","An onslaught of rain, snow and cold will make for a frightful Halloween for many trick-or-treaters this Thursday, forecasters say.",weather
332,N17861,"Panga Boat Makes Landfall Near San Clemente Beach; Chinese, Mexican Nationals Arrested",More than a dozen Chinese and Mexican nationals were taken into custody last week after arriving in a makeshift boat on the coast of Southern California.,weather
334,N58049,Tropical Storm Melissa moving into open Atlantic Ocean,"MIAMI (AP)   Tropical Storm Melissa is moving away from the U.S. East Coast into the open Atlantic Ocean. The National Hurricane center in Miami says Melissa was still causing dangerous swells along much of the coast Sunday. The storm was about 360 miles (580 kilometers) south-southeast of Halifax, nova Scotia, and was moving east-northeast at 17 mph (28 kph). It has maximum sustained winds of 45 mph (75 kph). Forecasters say parts of the...",weather
335,N6687,AccuWeather Winter Prediction For Michigan: 'Arctic Cold',AccuWeather recently released its long-range winter weather forecast for Michigan. Get ready for a polar chill.,weather
339,N11688,"Towson Town Center evacuated after fire, power outage","Towson Town Center was evacuated Friday night due to a power outage and a fire in the food court, Baltimore County fire officials said. Officials said a small fire at a restaurant in the food court was extinguished; however, the mall was still evacuated. WBAL-TV 11 News reporter Barry Simms was at the mall and said the lights went out around 7:30 p.m. and then came back on around 8 p.m. Fire officials said the electrical issue was not related to...",weather
342,N26296,Flooded bullet trains show Japan's risks from disasters,"TOKYO (AP)   The typhoon that ravaged Japan last week hit with unusual speed and ferocity, leaving homes buried in mud and people stranded on rooftops. But nothing spoke more of the powerlessness of modernization against natural disasters than rows of bullet trains deluged in floodwaters in Nagano, a mountainous region to the northwest of Tokyo. Japan's technological prowess and meticulous attention to detail are sometimes no match for rising...",weather
350,N26784,Hutchinson River Parkway lane closures in both directions through Friday,"Roadwork will take place on the Hutchinson River Parkway this week, closing lanes in both directions.",weather
351,N51141,Can plastic pavement curb the world's epidemic of plastic waste?,A Scottish firm has created a way to recycle plastic trash into asphalt,weather
352,N1165,Snow is on the way to metro Detroit: What to expect,"Prepare for it, folks. The Winter Wonderland is coming to metro Detroit. This afternoon.",weather
354,N49460,November to feature rare astronomical event that won't occur again until 2032,"One of the most highly anticipated astronomical events of the year is less than a month away, and if you want to see it with your own eyes, you will need to start preparing for it now. A rare astronomical alignment known as a Mercury Transit will occur on Monday, Nov. 11, and will be visible across almost all of North America, South America, Europe, Africa and western Asia.",weather
358,N55027,Brush Fire Near California's Simi Valley Prompts Mandatory Evacuations,"A brush fire that broke out in Simi Valley, California, on Wednesday, October 30, prompted mandatory evacuations of nearby neighborhoods, local media reported. The approximately 400-acre fire sparked near State Route 118 and Madera Road around 6 am, local media said, citing Ventura County Fire Department officials. The Ventura County Emergency Operations Center ordered mandatory evacuations for neighborhoods near the blaze. The National Weather Service (NWS) said wind gusts of 60 to 70 mph   with possible isolated gusts of 80 mph   were affecting the region. The NWS said the strong winds were expected to continue into Thursday, and the agency warned that the winds could down trees and power lines in the area. This video, taken near State Route 118 and Madera Road in Simi Valley, shows the blaze in the distance. Credit: @BigBurro0509 via Storyful",weather
365,N54051,Halloween storm to drench areas from Deep South to northeastern US,The warm side of a storm targeting the Heartland with snow around Halloween will unleash a swath of drenching rain and travel disruptions from the upper Gulf Coast to northern New England. The strengthening circulation from the storm will cause winds to increase over much of the eastern half of the nation and draw moisture from the Gulf of Mexico and the Atlantic Ocean. A general swath of 1- to 3-inch-rainfall with pockets of 3-5 inches and an...,weather
367,N10701,"With Saddleridge Fire 41% Contained, Questions Turn To Blame",Thousands of residents were able to return home as the Saddleridge Fire reached 41 percent containment.,weather
391,N30148,4.5 Magnitude Earthquake Rocks Bay Area,"(KCBS Radio) - A 4.5 earthquake shook the Bay Area at 10:35 p.m. Monday. The USGS says the epicenter was in Pleasant Hill and was 14.6 km below the surface, or about 9 miles. It was felt in all nine Bay Area counties and the USGS says Californians reported feeling the quake all the way east to Tahoe, northeast to Chico and south east to Fresno. Chris Bachman is the assistant fire chief and fire marshall with the Contra Costa County fire...",weather
394,N61942,"System likely to develop in the Gulf of Mexico, NHC says",A broad area of low pressure off the Mexican coast is showing signs of organization and is likely to develop soon as it moves into the Gulf of Mexico.,weather
397,N27603,"South metro snow snarls commute, raises misery index","While parts of southern Minnesota got nearly 5 inches of snow overnight, a fairly light coating wreaked havoc in the south metro Wednesday morning. MSP airport picked up only 0.1 inch of snow, and most areas in the south metro along I-494 saw 1/2 inch or less. A bit farther south Prior Lake residents have just short of an inch and a half on their lawns. But while snow amounts were small in the metro, the impact on traffic was large. Dozens of...",weather
401,N52415,Southeast chill fails to reach Florida for first full week of November,"Following the record-warm month of October across much of Florida, the shots of cooler air pushing into most of the southeastern United States this week will fail to reach the state. Much of Florida, from the panhandle to the southern top of the Florida Peninsula has spent much of October wondering if it was still somehow July.",weather
407,N42812,"Tornadoes caused estimated $2 billion in damage Sunday, a Texas record, expert says","Insurance experts estimated on Wednesday that the tornadoes which slammed North Texas on Sunday night caused $2 billion in damage, making it the costliest tornado event in Texas history. North Texans had filed 8,300 house claims and an additional 6,000 automobile claims from the storms, and those numbers are expected to double, said Mark Hanna of the Insurance Council of Texas. ...",weather
411,N59689,Construction aims to stop flooding on Holly Springs Rd.,Crews are soon set to start construction on a project to reduce flooding in DeSoto County.,weather
412,N26334,"Voodoo Fest goes on as planned, but other event changes for Friday",,weather
414,N1522,Chicago Weather: Could Our Area See Snow This Week?,"The pattern coming this week is cold, and unsettled. The Chicago area will be very close to the rain-snow changeover line a few times this week.",weather
416,N37875,"Rain Throughout The Week, Temps Back Down To 50s For IL",Rain and maybe some thunderstorms will start the work week off Monday.,weather
423,N11748,Timelapse Shows Kincade Fire Burning Overnight in California Mountains,"The Kincade Fire continued to burn in Sonoma County, California, threatening thousands of homes and growing to 75,415 acres as of Tuesday, October 29, officials said. The California Department of Forestry and Fire Protection (Cal Fire) said the wildfire, which started a week ago, was 15 percent contained on Tuesday morning. Local media said the blaze had forced about 185,000 people to evacuate the area. Cal Fire said the fire ""threatened"" more than 90,000 nearby structures, including 80,435 residential buildings. The department said 124 structures had been destroyed, 57 of which were homes. The agency reported no wounded civilians, but said two first responders were injured. This video, taken by an ALERTWildFire camera atop Mount Saint Helena in California's Mayacamas Mountains, shows a 12-hour timelapse of the Kincade Fire on October 28 to 29. Cal Fire said Tuesday morning's weather was favorable for battling the blaze, but that winds were expected to pick up in the evening. The department also said ""narrow roads and steep terrain"" made it difficult to get to the fire. Credit: ALERTWildFire & Nevada Seismological Laboratory via Storyful",weather
433,N12159,Georgia Winter Forecast 2019-2020 Released By NOAA,The National Oceanic and Atmospheric Administration put out its winter forecast for Georgia   see what to expect.,weather
434,N27373,Minus 45 degrees in October? An Arctic blast is breaking records across western and central US,"A wave of Arctic air is bringing temperatures 30 to 50 degrees below normal across Colorado, Texas and the central Plains",weather
435,N648,Gov. Hogan announces $200 million environmental agreement with Exelon,Gov. Larry Hogan on Tuesday announced an agreement between the Maryland Department of the Environment (MDE) and Exelon Generation Co. LLC that requires Exelon to invest more than $200 million in environmental projects and operational enhancements to improve water quality in the Lower Susquehanna River and the Chesapeake Bay. The agreement settles Exelon's legal challenges to the water quality certification issued in 2018 by Maryland under...,weather
438,N258,Former TS Priscilla dissipates after coming ashore in Mexico,"MEXICO CITY (AP)   Former Tropical Storm Priscilla pushed onto Mexico's southwestern coast Sunday and then broke up while moving over land, but it still posed a threat of heavy rains that could cause flooding and mudslides. The U.S. National Hurricane Center downgraded Priscilla to a tropical depression as it weakened after making landfall in the afternoon near the Pacific coast resort of Manzanillo. It said the storm dissipated during the...",weather
446,N59976,Small Quake Jolts Palm Springs Area Hours After Compton Quake,"An earthquake with a preliminary magnitude of 3.3 rattled the Palm Springs area Friday evening, but there were no reports of immediate damage.",weather
450,N35349,"Fire destroys house in Chandler, damages 3 vehicles","Three people were able to escape a house fire overnight, according to the Chandler Fire Department. Chandler fire said the home near Riggs and Lindsay roads was a total loss. The fire started in the garage and damaged three vehicles. The three people were able to make it out without injuries. The cause is unknown at this time and the investigation is ongoing.",weather
463,N20108,Subtropical Storm Rebekah forms in north Atlantic,Forecasters say Subtropical Storm Rebekah has formed in the north Atlantic but currently poses no threats to land.,weather
466,N37869,Don't miss the full Hunter's Moon this weekend,The Hunter's Moon will be big and bright this weekend!,weather
467,N63537,California flood threat forecast,Meteorologist Jennifer Gray breaks down the reason behind the significant flood event forecast for Northern California this weekend into next week.,weather
472,N7510,"Denver metro area school and government office closures, Oct. 28, 2019","On days with severe weather, school closures and government office closures will be updated throughout the day.",weather
474,N24302,19 of the biggest hailstorms that ravaged the US over the years,Major hailstorms can wreak havoc on communities   and often cause billions of dollars of destruction.,weather
475,N46522,New tropical depression to unleash flooding rainfall across southwest Mexico early this week,"Newly formed Tropical Depression 19 will bring a heightened risk of flash flooding and mudslides to southwestern Mexico through Monday. The new tropical threat formed about 105 miles (169 km) south of Manzanillo, Mexico, early Sunday morning. As of 5 a.m. EDT Sunday, the depression was moving north at 7 mph (11 km/h) with maximum sustained winds of 35 mph (56 km/h). This satellite image shows newly formed Tropical Depression 19 off the...",weather
476,N41214,"Another rapidly-growing fire erupts in Southern Calif., forcing new mandatory evacuations","The newly-formed Easy Fire has been anything but easy for crews to handle in Simi Valley, California. Since igniting early Wednesday morning near Easy Street, hence the name, the blaze has rapidly grown from just 200 acres to more than 1,300 acres by late Wednesday morning. As of 10:27 a.m. PDT, the fire was at 5% containment, according to Cal Fire. The fire ignited near the 118 Freeway and Madera Road and quickly spread toward neighborhoods,...",weather
479,N42667,More dangerous fire weather looms for California this week,"As dramatic footage emerges of people fleeing flames encroaching hillside homes in the Pacific Palisades neighborhood of Los Angeles, meteorologists are warning that dry air, heat and a wind event will provide the recipe for 'critical' fire weather conditions much of this week. The Palisades Fire charred more than 40 acres in Los Angles on Monday, prompting evacuations of 200 homes in the affluent Pacific Palisades area. The Los Angeles Fire...",weather
480,N62859,"Heavy rains pick up in the South, Nor'easter coming to Northeast",A storm system will move through the South today with heavy rain that could cause flash flooding.,weather
482,N56171,NWS Confirms EF-1 Tornado Touched Down In Shelton Friday,The National Weather Service completed an on-site damage survey over the weekend.,weather
485,N7553,"Thunderstorms with damaging winds, large hail possible in DFW","Storms predicted to move through DFW Sunday night could bring damaging winds and large hail. An unseasonably warm start to the day on Sunday brought temperatures in the upper 80s that will last into the evening, National Weather Service meteorologist Daniel Huckaby said. However, a cold front is expected to move into the Metroplex around midnight, bringing severe weather, Huckaby ...",weather
486,N7028,"Kincade Fire 74 percent contained, remains at 77,758 acres burned",,weather
488,N11777,"Getty Fire Erupts In Sepulveda Pass, Thousands Ordered To Evacuate: 'Get The Hell Out'","The blaze broke out on the west side of the 405 Freeway just after 2:30 a.m. Mandatory evacuations were issued for an area with upwards of 10,000 homes and commercial buildings.",weather
490,N54908,High Winds Overturn Multiple Big Rigs On 15 Freeway In Fontana,Strong winds hit Southern California Wednesday overturning at least four big rigs on the 15 Freeway near Fontana.,weather
493,N48150,"Tropical Storm Nestor forms, takes aim on Florida Panhandle",A weather disturbance in the Gulf of Mexico has strengthened into Tropical Storm Nestor and should make landfall over the Florida Panhandle Friday night into Saturday.,weather
494,N16311,U.S. cities with the dirtiest air,"Stacker researched and ranked the 50 American cities in 2018 with the worst quality of air based on the amount of particulate matter contained in the air. These cities are based in states such as California and Arizona, Wyoming, New Mexico, and more.",weather
495,N6402,Trump Again Tweets About California Forest 'Mismanagement',"It was after the Camp Fire when President Trump first blamed California's wildfires on forest mismanagement. On Sunday, Trump tweeted that Gov. Gavin Newsom has ""done a terrible job on forest management"" and ""I told him from the first day we met that he must 'clean' his forest floors regardless of what his bosses, the environmentalists, DEMAND of him."" The Governor of California, @GavinNewsom, has done a terrible job of forest management. I told...",weather
518,N11046,Drone Footage Shows Office Building Flattened by Tornado Northeast of Dallas,"The aftermath of a tornado that swept through Garland, Texas, northeast of Dallas, on October 20 was laid bare in drone footage posted online by a local man. In total, nine tornadoes were reported to have hit north Texas on the same date. In Garland, a newly built office building was ripped to pieces by the weather event. The tornado left cars and trucks stranded nearby, as the area was shut down while the numerous power lines downed by the storm were attended to. Garland native Jon Fromm shot both the video footage and still images of the damage the day after the storm, posting it all to Facebook on the same date. Credit: Jon Fromm via Storyful",weather
528,N58218,Pa.'s State Bird In Danger Of Leaving State Due To Climate Change,"The Ruffed Grouse, Pennsylvania's state bird since 1931, is in danger of leaving the Keystone state due to climate change.",weather
530,N52833,Dallas suspends brush collection for areas not affected by Sunday's storms,"The city of Dallas announced Wednesday that it would be temporarily suspending all brush and bulk trash collection. City officials said they expect normal collection to resume by the end of November. Sanitation Services is suspending collection so that crews can focus on collecting and removing debris from areas affected by Sunday's storms, according to officials. RELATED: City begins brush clean-up following devastating Dallas tornado They are...",weather
532,N23849,WATCH LIVE: PG&E gives update ahead of 3rd possible power shutoff,,weather
538,N51047,"Rectangle state? Nope. Colorado has 697 sides, not four.","How many sides does Colorado have? The Centennial State is actually a hexahectaenneacontakaiheptagon, meaning it has 697 sides.",weather
541,N55160,Cyclone heads to Gulf coast as rain douses Southeast,"BIRMINGHAM, Ala. (AP)   Storms with heavy rains doused the drought-parched South on Friday, prompting alerts for floods and tornadoes as Post-Tropical Cyclone Olga headed for the Gulf coast. The National Hurricane Center said Olga, located in the Gulf of Mexico south of Louisiana, would contribute to rainfall that could total 8 inches (20 centimeters) in spots by Sunday.",weather
544,N28154,Incredible places destroyed by the weather,"From flooding, forest fires and landslides, to hurricanes, dangerous waves and global warming, the weather has ruined some beautiful places in the world. Here are some parts of our planet that have fallen victim to severe weather.",weather
545,N14174,PG&E Power Outage Shut Off: Maps showing Bay Area counties affected by PG&E power shutdown,,weather
